
--- [START 2018-11-12_01-05-46] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = C:\Users\Admin\Desktop\doodle\code
	__file__     = baseline_25k
	out_dir      = ../../output

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 320
train_dataset : 
	split        = train_0
	mode         = train
	complexity   = simplified
	len(self.id) = 8500000


valid_dataset : 
	split        = valid_0
	mode         = train
	complexity   = simplified
	len(self.id) = 27200



** net setting **
	initial_checkpoint = ../../output/backup/color_model_885.pth
<class 'model_seresnext50.Net'>
criterion=<function softmax_cross_entropy_criterion at 0x000001F743A0B0D0>

schduler
  (Exp) Decay Learning Rates
base_lr=0.010, decay=0.100, step=53125.000

** start training here! **
                    |------------ VALID -------------|-------- TRAIN/BATCH ----------|         
rate   iter  epoch  | loss   acc-1  acc-3   lb       | loss   acc-1  acc-3   lb      |  time   
----------------------------------------------------------------------------------------------------
0.0100   9.6    0.4 | 0.787  0.797  0.923  (0.855)   | 0.742  0.809  0.932  (0.866)  |  3 hr 28 min
0.0100   9.7    0.4 | 0.787  0.794  0.924  (0.854)   | 0.772  0.804  0.928  (0.862)  |  3 hr 31 min
0.0100   9.8    0.4 | 0.762  0.802  0.928  (0.860)   | 0.766  0.805  0.926  (0.861)  |  3 hr 33 min
0.0100   9.9    0.4 | 0.786  0.795  0.924  (0.855)   | 0.754  0.806  0.926  (0.861)  |  3 hr 35 min
0.0100  10.0    0.4 | 0.784  0.796  0.924  (0.855)*  | 0.781  0.798  0.924  (0.856)  |  3 hr 37 min
0.0100  10.1    0.4 | 0.765  0.801  0.926  (0.859)   | 0.756  0.810  0.924  (0.863)  |  3 hr 39 min
0.0100  10.2    0.4 | 0.771  0.799  0.925  (0.857)   | 0.781  0.801  0.924  (0.858)  |  3 hr 41 min
0.0100  10.3    0.4 | 0.774  0.799  0.925  (0.857)   | 0.756  0.809  0.926  (0.863)  |  3 hr 44 min
0.0100  10.4    0.4 | 0.770  0.803  0.926  (0.860)   | 0.765  0.809  0.924  (0.863)  |  3 hr 46 min
0.0100  10.5    0.4 | 0.775  0.798  0.926  (0.857)   | 0.758  0.807  0.930  (0.863)  |  3 hr 48 min
0.0100  10.6    0.4 | 0.765  0.802  0.926  (0.859)   | 0.763  0.804  0.928  (0.861)  |  3 hr 50 min
0.0100  10.7    0.4 | 0.774  0.799  0.926  (0.857)   | 0.724  0.816  0.930  (0.869)  |  3 hr 52 min
0.0100  10.8    0.4 | 0.772  0.800  0.925  (0.858)   | 0.756  0.805  0.929  (0.862)  |  3 hr 54 min
0.0100  10.9    0.4 | 0.767  0.799  0.925  (0.857)   | 0.793  0.799  0.927  (0.858)  |  3 hr 56 min
0.0100  11.0    0.4 | 0.771  0.799  0.926  (0.858)   | 0.752  0.809  0.929  (0.864)  |  3 hr 59 min
0.0100  11.1    0.4 | 0.780  0.798  0.924  (0.856)   | 0.761  0.804  0.928  (0.861)  |  4 hr 01 min
0.0100  11.2    0.4 | 0.766  0.801  0.927  (0.859)   | 0.809  0.800  0.920  (0.856)  |  4 hr 03 min
0.0100  11.3    0.4 | 0.773  0.799  0.925  (0.858)   | 0.780  0.799  0.924  (0.857)  |  4 hr 05 min
0.0100  11.4    0.4 | 0.777  0.799  0.924  (0.856)   | 0.766  0.803  0.927  (0.860)  |  4 hr 07 min
0.0100  11.5    0.4 | 0.789  0.795  0.923  (0.854)   | 0.783  0.801  0.922  (0.857)  |  4 hr 09 min
0.0100  11.6    0.4 | 0.798  0.793  0.922  (0.852)   | 0.752  0.808  0.927  (0.863)  |  4 hr 12 min
0.0100  11.7    0.4 | 0.762  0.802  0.927  (0.860)   | 0.759  0.806  0.927  (0.862)  |  4 hr 14 min
0.0100  11.8    0.4 | 0.788  0.796  0.924  (0.855)   | 0.751  0.810  0.932  (0.866)  |  4 hr 16 min
0.0100  11.9    0.4 | 0.771  0.799  0.926  (0.858)   | 0.774  0.798  0.927  (0.858)  |  4 hr 18 min
0.0100  12.0    0.5 | 0.798  0.793  0.923  (0.853)*  | 0.758  0.811  0.928  (0.865)  |  4 hr 20 min
0.0100  12.1    0.5 | 0.782  0.796  0.923  (0.855)   | 0.774  0.803  0.926  (0.860)  |  4 hr 22 min
0.0100  12.2    0.5 | 0.773  0.800  0.927  (0.858)   | 0.809  0.797  0.919  (0.853)  |  4 hr 25 min
0.0100  12.3    0.5 | 0.779  0.797  0.926  (0.856)   | 0.770  0.800  0.927  (0.858)  |  4 hr 27 min
0.0100  12.4    0.5 | 0.769  0.800  0.926  (0.858)   | 0.775  0.802  0.928  (0.860)  |  4 hr 29 min
0.0100  12.5    0.5 | 0.773  0.797  0.926  (0.857)   | 0.793  0.798  0.925  (0.856)  |  4 hr 31 min
0.0100  12.6    0.5 | 0.776  0.800  0.925  (0.857)   | 0.772  0.804  0.929  (0.861)  |  4 hr 33 min
0.0100  12.7    0.5 | 0.775  0.799  0.927  (0.858)   | 0.755  0.815  0.927  (0.866)  |  4 hr 35 min
0.0100  12.8    0.5 | 0.767  0.801  0.927  (0.859)   | 0.784  0.798  0.923  (0.856)  |  4 hr 37 min
0.0100  12.9    0.5 | 0.794  0.795  0.924  (0.854)   | 0.747  0.803  0.930  (0.861)  |  4 hr 40 min
0.0100  13.0    0.5 | 0.781  0.798  0.925  (0.856)   | 0.741  0.813  0.930  (0.867)  |  4 hr 42 min
0.0100  13.1    0.5 | 0.753  0.805  0.927  (0.861)   | 0.735  0.814  0.933  (0.869)  |  4 hr 44 min
0.0100  13.2    0.5 | 0.780  0.799  0.923  (0.856)   | 0.775  0.806  0.925  (0.861)  |  4 hr 46 min
0.0100  13.3    0.5 | 0.767  0.801  0.926  (0.859)   | 0.755  0.812  0.925  (0.864)  |  4 hr 48 min
0.0100  13.4    0.5 | 0.773  0.800  0.926  (0.858)   | 0.794  0.806  0.921  (0.859)  |  4 hr 50 min
0.0100  13.5    0.5 | 0.781  0.797  0.924  (0.856)   | 0.759  0.802  0.930  (0.860)  |  4 hr 52 min
0.0100  13.6    0.5 | 0.764  0.801  0.926  (0.859)   | 0.802  0.799  0.921  (0.855)  |  4 hr 55 min
0.0100  13.7    0.5 | 0.774  0.799  0.925  (0.857)   | 0.784  0.804  0.925  (0.860)  |  4 hr 57 min
0.0100  13.8    0.5 | 0.770  0.800  0.925  (0.858)   | 0.749  0.809  0.930  (0.865)  |  4 hr 59 min
0.0100  13.9    0.5 | 0.771  0.799  0.925  (0.857)   | 0.718  0.819  0.934  (0.872)  |  5 hr 01 min
0.0100  14.0    0.5 | 0.763  0.802  0.927  (0.860)*  | 0.776  0.807  0.927  (0.862)  |  5 hr 03 min
0.0100  14.1    0.5 | 0.783  0.797  0.924  (0.855)   | 0.788  0.799  0.923  (0.856)  |  5 hr 05 min
0.0100  14.2    0.5 | 0.774  0.800  0.924  (0.858)   | 0.772  0.805  0.929  (0.862)  |  5 hr 08 min
0.0100  14.3    0.5 | 0.762  0.804  0.927  (0.860)   | 0.772  0.805  0.924  (0.860)  |  5 hr 10 min
0.0100  14.4    0.5 | 0.763  0.803  0.926  (0.860)   | 0.772  0.801  0.925  (0.858)  |  5 hr 12 min
0.0100  14.5    0.5 | 0.760  0.802  0.927  (0.860)   | 0.794  0.805  0.922  (0.859)  |  5 hr 14 min
0.0100  14.6    0.5 | 0.802  0.793  0.922  (0.853)   | 0.768  0.805  0.926  (0.861)  |  5 hr 16 min
0.0100  14.7    0.6 | 0.781  0.797  0.925  (0.856)   | 0.765  0.809  0.926  (0.863)  |  5 hr 18 min
0.0100  14.8    0.6 | 0.763  0.800  0.928  (0.859)   | 0.752  0.806  0.930  (0.863)  |  5 hr 21 min
0.0100  14.9    0.6 | 0.770  0.800  0.927  (0.858)   | 0.775  0.804  0.924  (0.860)  |  5 hr 23 min
0.0100  15.0    0.6 | 0.762  0.803  0.927  (0.860)   | 0.780  0.800  0.922  (0.856)  |  5 hr 25 min
0.0100  15.1    0.6 | 0.785  0.799  0.924  (0.856)   | 0.740  0.810  0.932  (0.866)  |  5 hr 27 min
0.0100  15.2    0.6 | 0.796  0.794  0.922  (0.853)   | 0.731  0.812  0.928  (0.866)  |  5 hr 29 min
0.0100  15.3    0.6 | 0.768  0.802  0.925  (0.859)   | 0.754  0.806  0.929  (0.863)  |  5 hr 31 min
0.0100  15.4    0.6 | 0.778  0.799  0.925  (0.857)   | 0.748  0.807  0.930  (0.863)  |  5 hr 33 min
0.0100  15.5    0.6 | 0.792  0.795  0.922  (0.854)   | 0.762  0.808  0.926  (0.863)  |  5 hr 36 min
0.0100  15.6    0.6 | 0.766  0.803  0.926  (0.860)   | 0.765  0.799  0.927  (0.857)  |  5 hr 38 min
0.0100  15.7    0.6 | 0.780  0.797  0.925  (0.856)   | 0.776  0.806  0.926  (0.861)  |  5 hr 40 min
0.0100  15.8    0.6 | 0.762  0.803  0.927  (0.860)   | 0.745  0.809  0.929  (0.865)  |  5 hr 42 min
0.0100  15.9    0.6 | 0.776  0.797  0.925  (0.856)   | 0.772  0.808  0.922  (0.861)  |  5 hr 44 min
0.0100  16.0    0.6 | 0.778  0.800  0.925  (0.858)*  | 0.770  0.806  0.930  (0.863)  |  5 hr 46 min
0.0100  16.1    0.6 | 0.769  0.801  0.926  (0.859)   | 0.759  0.805  0.930  (0.863)  |  5 hr 49 min
0.0100  16.2    0.6 | 0.803  0.794  0.921  (0.853)   | 0.755  0.811  0.928  (0.865)  |  5 hr 51 min
0.0100  16.3    0.6 | 0.772  0.800  0.926  (0.858)   | 0.780  0.804  0.927  (0.861)  |  5 hr 53 min
