
--- [START 2018-11-12_01-05-46] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = C:\Users\Admin\Desktop\doodle\code
	__file__     = baseline_25k
	out_dir      = ../../output

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 320
train_dataset : 
	split        = train_0
	mode         = train
	complexity   = simplified
	len(self.id) = 8500000


valid_dataset : 
	split        = valid_0
	mode         = train
	complexity   = simplified
	len(self.id) = 27200



** net setting **
	initial_checkpoint = ../../output/backup/color_model_885.pth
<class 'model_seresnext50.Net'>
criterion=<function softmax_cross_entropy_criterion at 0x000001F743A0B0D0>

schduler
  (Exp) Decay Learning Rates
base_lr=0.010, decay=0.100, step=53125.000

** start training here! **
                    |------------ VALID -------------|-------- TRAIN/BATCH ----------|         
rate   iter  epoch  | loss   acc-1  acc-3   lb       | loss   acc-1  acc-3   lb      |  time   
----------------------------------------------------------------------------------------------------
0.0010   2.1    0.1 | 0.654  0.830  0.940  (0.881)   | 0.678  0.833  0.935  (0.880)  |  0 hr 47 min
0.0010   2.2    0.1 | 0.653  0.831  0.940  (0.881)   | 0.641  0.842  0.943  (0.888)  |  0 hr 49 min
0.0010   2.3    0.1 | 0.654  0.829  0.940  (0.881)   | 0.640  0.836  0.939  (0.883)  |  0 hr 52 min
0.0010   2.4    0.1 | 0.654  0.830  0.940  (0.881)   | 0.653  0.837  0.939  (0.884)  |  0 hr 54 min
0.0010   2.5    0.1 | 0.654  0.830  0.940  (0.881)   | 0.661  0.831  0.941  (0.882)  |  0 hr 56 min
0.0010   2.6    0.1 | 0.654  0.830  0.940  (0.881)   | 0.633  0.830  0.941  (0.882)  |  0 hr 58 min
0.0010   2.7    0.1 | 0.653  0.831  0.940  (0.882)   | 0.685  0.826  0.934  (0.876)  |  1 hr 01 min
0.0010   2.8    0.1 | 0.654  0.831  0.940  (0.882)   | 0.631  0.841  0.942  (0.888)  |  1 hr 03 min
0.0010   2.9    0.1 | 0.653  0.830  0.940  (0.881)   | 0.603  0.840  0.948  (0.891)  |  1 hr 05 min
0.0010   3.0    0.1 | 0.653  0.830  0.940  (0.881)   | 0.647  0.836  0.942  (0.885)  |  1 hr 08 min
0.0010   3.1    0.1 | 0.654  0.830  0.940  (0.881)   | 0.661  0.838  0.940  (0.885)  |  1 hr 10 min
0.0010   3.2    0.1 | 0.653  0.831  0.940  (0.881)   | 0.624  0.835  0.945  (0.887)  |  1 hr 12 min
0.0010   3.3    0.1 | 0.653  0.831  0.939  (0.881)   | 0.643  0.839  0.942  (0.887)  |  1 hr 14 min
0.0010   3.4    0.1 | 0.653  0.831  0.940  (0.882)   | 0.651  0.833  0.937  (0.881)  |  1 hr 17 min
0.0010   3.5    0.1 | 0.652  0.831  0.940  (0.881)   | 0.622  0.839  0.944  (0.888)  |  1 hr 19 min
0.0010   3.6    0.1 | 0.653  0.831  0.940  (0.882)   | 0.635  0.841  0.938  (0.886)  |  1 hr 21 min
0.0010   3.7    0.1 | 0.653  0.832  0.940  (0.882)   | 0.650  0.832  0.938  (0.881)  |  1 hr 23 min
0.0010   3.8    0.1 | 0.652  0.833  0.940  (0.882)   | 0.620  0.842  0.942  (0.889)  |  1 hr 26 min
0.0010   3.9    0.1 | 0.652  0.832  0.940  (0.882)   | 0.627  0.837  0.942  (0.886)  |  1 hr 28 min
0.0010   4.0    0.2 | 0.651  0.832  0.941  (0.883)*  | 0.637  0.843  0.941  (0.888)  |  1 hr 30 min
0.0010   4.1    0.2 | 0.652  0.832  0.940  (0.882)   | 0.619  0.839  0.943  (0.887)  |  1 hr 32 min
0.0010   4.2    0.2 | 0.652  0.831  0.940  (0.882)   | 0.649  0.833  0.938  (0.881)  |  1 hr 35 min
0.0010   4.3    0.2 | 0.652  0.832  0.940  (0.882)   | 0.625  0.838  0.944  (0.887)  |  1 hr 37 min
0.0010   4.4    0.2 | 0.651  0.832  0.940  (0.882)   | 0.634  0.842  0.939  (0.887)  |  1 hr 39 min
0.0010   4.5    0.2 | 0.651  0.832  0.940  (0.882)   | 0.661  0.832  0.938  (0.881)  |  1 hr 41 min
0.0010   4.6    0.2 | 0.651  0.832  0.940  (0.882)   | 0.645  0.836  0.937  (0.883)  |  1 hr 44 min
0.0010   4.7    0.2 | 0.651  0.832  0.940  (0.882)   | 0.642  0.839  0.940  (0.886)  |  1 hr 46 min
0.0010   4.8    0.2 | 0.650  0.833  0.940  (0.883)   | 0.635  0.836  0.941  (0.884)  |  1 hr 48 min
0.0010   4.9    0.2 | 0.650  0.833  0.941  (0.883)   | 0.650  0.828  0.938  (0.879)  |  1 hr 51 min
0.0010   5.0    0.2 | 0.649  0.833  0.940  (0.883)   | 0.615  0.843  0.941  (0.888)  |  1 hr 53 min
0.0010   5.1    0.2 | 0.650  0.832  0.940  (0.882)   | 0.654  0.831  0.942  (0.882)  |  1 hr 55 min
0.0010   5.2    0.2 | 0.649  0.832  0.940  (0.882)   | 0.619  0.840  0.944  (0.888)  |  1 hr 57 min
0.0010   5.3    0.2 | 0.649  0.833  0.940  (0.883)   | 0.628  0.836  0.942  (0.885)  |  2 hr 00 min
0.0010   5.4    0.2 | 0.649  0.833  0.940  (0.883)   | 0.639  0.838  0.937  (0.884)  |  2 hr 02 min
0.0010   5.5    0.2 | 0.649  0.833  0.941  (0.883)   | 0.655  0.834  0.938  (0.882)  |  2 hr 04 min
0.0010   5.6    0.2 | 0.650  0.832  0.940  (0.882)   | 0.644  0.832  0.940  (0.882)  |  2 hr 06 min
0.0010   5.7    0.2 | 0.649  0.832  0.941  (0.882)   | 0.644  0.840  0.938  (0.885)  |  2 hr 09 min
0.0010   5.8    0.2 | 0.649  0.833  0.940  (0.883)   | 0.622  0.841  0.940  (0.887)  |  2 hr 11 min
0.0010   5.9    0.2 | 0.649  0.833  0.940  (0.883)   | 0.652  0.841  0.938  (0.886)  |  2 hr 13 min
0.0010   6.0    0.2 | 0.650  0.833  0.940  (0.883)*  | 0.616  0.837  0.943  (0.886)  |  2 hr 15 min
0.0010   6.1    0.2 | 0.650  0.833  0.940  (0.883)   | 0.624  0.840  0.941  (0.887)  |  2 hr 18 min
0.0010   6.2    0.2 | 0.650  0.832  0.940  (0.882)   | 0.648  0.833  0.938  (0.882)  |  2 hr 20 min
0.0010   6.3    0.2 | 0.649  0.832  0.940  (0.882)   | 0.656  0.828  0.939  (0.880)  |  2 hr 22 min
0.0010   6.4    0.2 | 0.648  0.834  0.941  (0.883)   | 0.622  0.844  0.943  (0.890)  |  2 hr 24 min
0.0010   6.5    0.2 | 0.648  0.834  0.941  (0.884)   | 0.639  0.837  0.938  (0.884)  |  2 hr 27 min
0.0010   6.6    0.2 | 0.647  0.834  0.941  (0.884)   | 0.628  0.840  0.942  (0.888)  |  2 hr 29 min
0.0010   6.7    0.3 | 0.647  0.834  0.941  (0.883)   | 0.626  0.833  0.942  (0.884)  |  2 hr 31 min
0.0010   6.8    0.3 | 0.647  0.834  0.941  (0.883)   | 0.633  0.838  0.939  (0.885)  |  2 hr 34 min
0.0010   6.9    0.3 | 0.647  0.834  0.941  (0.884)   | 0.630  0.838  0.944  (0.887)  |  2 hr 36 min
0.0010   7.0    0.3 | 0.647  0.833  0.941  (0.883)   | 0.606  0.840  0.944  (0.889)  |  2 hr 38 min
0.0010   7.1    0.3 | 0.648  0.833  0.941  (0.883)   | 0.612  0.845  0.942  (0.890)  |  2 hr 40 min
0.0010   7.2    0.3 | 0.649  0.833  0.941  (0.883)   | 0.646  0.834  0.939  (0.883)  |  2 hr 43 min
0.0010   7.3    0.3 | 0.647  0.833  0.941  (0.883)   | 0.656  0.833  0.939  (0.882)  |  2 hr 45 min
0.0010   7.4    0.3 | 0.648  0.833  0.941  (0.883)   | 0.631  0.840  0.939  (0.886)  |  2 hr 47 min
0.0010   7.5    0.3 | 0.648  0.834  0.941  (0.884)   | 0.657  0.835  0.939  (0.883)  |  2 hr 49 min
0.0010   7.6    0.3 | 0.648  0.834  0.941  (0.883)   | 0.620  0.838  0.944  (0.887)  |  2 hr 52 min
0.0010   7.7    0.3 | 0.648  0.833  0.940  (0.883)   | 0.625  0.837  0.945  (0.888)  |  2 hr 54 min
0.0010   7.8    0.3 | 0.648  0.833  0.941  (0.883)   | 0.591  0.844  0.948  (0.892)  |  2 hr 56 min
0.0010   7.9    0.3 | 0.648  0.832  0.941  (0.883)   | 0.661  0.825  0.936  (0.877)  |  2 hr 59 min
0.0010   8.0    0.3 | 0.647  0.832  0.941  (0.883)*  | 0.640  0.836  0.942  (0.885)  |  3 hr 01 min
0.0010   8.1    0.3 | 0.646  0.833  0.941  (0.883)   | 0.658  0.830  0.937  (0.880)  |  3 hr 03 min
0.0010   8.2    0.3 | 0.646  0.834  0.941  (0.883)   | 0.651  0.837  0.939  (0.884)  |  3 hr 05 min
0.0010   8.3    0.3 | 0.646  0.833  0.940  (0.883)   | 0.618  0.839  0.943  (0.887)  |  3 hr 08 min
0.0010   8.4    0.3 | 0.647  0.833  0.941  (0.883)   | 0.638  0.837  0.940  (0.885)  |  3 hr 10 min
0.0010   8.5    0.3 | 0.647  0.832  0.941  (0.883)   | 0.657  0.834  0.940  (0.883)  |  3 hr 12 min
0.0010   8.6    0.3 | 0.648  0.832  0.940  (0.883)   | 0.604  0.846  0.947  (0.893)  |  3 hr 15 min
0.0010   8.7    0.3 | 0.647  0.833  0.941  (0.883)   | 0.611  0.842  0.944  (0.890)  |  3 hr 17 min
0.0010   8.8    0.3 | 0.648  0.832  0.941  (0.883)   | 0.596  0.843  0.945  (0.890)  |  3 hr 19 min
0.0010   8.9    0.3 | 0.646  0.833  0.941  (0.883)   | 0.578  0.849  0.950  (0.896)  |  3 hr 21 min
0.0010   9.0    0.3 | 0.646  0.833  0.941  (0.883)   | 0.641  0.835  0.942  (0.885)  |  3 hr 24 min
0.0010   9.1    0.3 | 0.645  0.833  0.941  (0.884)   | 0.673  0.827  0.934  (0.876)  |  3 hr 26 min
0.0010   9.2    0.3 | 0.646  0.833  0.941  (0.883)   | 0.637  0.837  0.940  (0.885)  |  3 hr 28 min
0.0010   9.3    0.4 | 0.646  0.833  0.941  (0.883)   | 0.627  0.838  0.943  (0.886)  |  3 hr 30 min
0.0010   9.4    0.4 | 0.645  0.834  0.941  (0.884)   | 0.638  0.839  0.941  (0.886)  |  3 hr 33 min
0.0010   9.5    0.4 | 0.646  0.834  0.941  (0.884)   | 0.627  0.836  0.943  (0.886)  |  3 hr 35 min
0.0010   9.6    0.4 | 0.645  0.834  0.941  (0.883)   | 0.616  0.839  0.946  (0.889)  |  3 hr 37 min
0.0010   9.7    0.4 | 0.646  0.833  0.941  (0.883)   | 0.631  0.837  0.942  (0.886)  |  3 hr 39 min
0.0010   9.8    0.4 | 0.645  0.833  0.942  (0.884)   | 0.631  0.840  0.942  (0.887)  |  3 hr 42 min
0.0010   9.9    0.4 | 0.646  0.833  0.941  (0.883)   | 0.620  0.841  0.942  (0.887)  |  3 hr 44 min
0.0010  10.0    0.4 | 0.646  0.832  0.941  (0.883)*  | 0.638  0.836  0.940  (0.884)  |  3 hr 46 min
0.0010  10.1    0.4 | 0.645  0.834  0.941  (0.884)   | 0.611  0.842  0.942  (0.889)  |  3 hr 49 min
0.0010  10.2    0.4 | 0.645  0.834  0.941  (0.883)   | 0.637  0.839  0.941  (0.886)  |  3 hr 51 min
0.0010  10.3    0.4 | 0.645  0.834  0.941  (0.883)   | 0.617  0.837  0.942  (0.886)  |  3 hr 53 min
0.0010  10.4    0.4 | 0.645  0.833  0.941  (0.883)   | 0.632  0.840  0.940  (0.886)  |  3 hr 55 min
0.0010  10.5    0.4 | 0.646  0.833  0.941  (0.883)   | 0.613  0.843  0.946  (0.890)  |  3 hr 58 min
0.0010  10.6    0.4 | 0.646  0.834  0.941  (0.883)   | 0.614  0.836  0.947  (0.887)  |  4 hr 00 min
0.0010  10.7    0.4 | 0.646  0.833  0.941  (0.883)   | 0.595  0.845  0.946  (0.892)  |  4 hr 02 min
0.0010  10.8    0.4 | 0.645  0.833  0.941  (0.884)   | 0.616  0.839  0.944  (0.888)  |  4 hr 04 min
0.0010  10.9    0.4 | 0.646  0.833  0.941  (0.883)   | 0.639  0.838  0.942  (0.886)  |  4 hr 07 min
0.0010  11.0    0.4 | 0.645  0.834  0.941  (0.883)   | 0.620  0.845  0.945  (0.891)  |  4 hr 09 min
0.0010  11.1    0.4 | 0.646  0.834  0.941  (0.884)   | 0.609  0.845  0.947  (0.892)  |  4 hr 11 min
0.0010  11.2    0.4 | 0.645  0.834  0.941  (0.884)   | 0.666  0.837  0.934  (0.882)  |  4 hr 13 min
0.0010  11.3    0.4 | 0.645  0.834  0.941  (0.883)   | 0.629  0.840  0.942  (0.887)  |  4 hr 16 min
0.0010  11.4    0.4 | 0.645  0.833  0.941  (0.883)   | 0.617  0.838  0.944  (0.887)  |  4 hr 18 min
0.0010  11.5    0.4 | 0.645  0.835  0.941  (0.884)   | 0.637  0.839  0.939  (0.886)  |  4 hr 20 min
0.0010  11.6    0.4 | 0.645  0.834  0.941  (0.884)   | 0.603  0.844  0.948  (0.892)  |  4 hr 23 min
0.0010  11.7    0.4 | 0.644  0.834  0.942  (0.884)   | 0.612  0.841  0.942  (0.888)  |  4 hr 25 min
0.0010  11.8    0.4 | 0.645  0.834  0.941  (0.884)   | 0.622  0.838  0.946  (0.888)  |  4 hr 27 min
0.0010  11.9    0.4 | 0.644  0.834  0.940  (0.883)   | 0.629  0.835  0.945  (0.886)  |  4 hr 29 min
0.0010  12.0    0.5 | 0.645  0.833  0.941  (0.883)*  | 0.608  0.846  0.946  (0.892)  |  4 hr 32 min
0.0010  12.1    0.5 | 0.645  0.834  0.941  (0.884)   | 0.622  0.841  0.945  (0.889)  |  4 hr 34 min
0.0010  12.2    0.5 | 0.644  0.834  0.941  (0.884)   | 0.661  0.833  0.937  (0.882)  |  4 hr 36 min
0.0010  12.3    0.5 | 0.644  0.834  0.940  (0.884)   | 0.627  0.838  0.944  (0.887)  |  4 hr 38 min
0.0010  12.4    0.5 | 0.644  0.834  0.941  (0.884)   | 0.623  0.837  0.942  (0.886)  |  4 hr 41 min
0.0010  12.5    0.5 | 0.645  0.833  0.941  (0.883)   | 0.647  0.837  0.941  (0.885)  |  4 hr 43 min
0.0010  12.6    0.5 | 0.645  0.834  0.942  (0.884)   | 0.643  0.838  0.940  (0.885)  |  4 hr 45 min
0.0010  12.7    0.5 | 0.644  0.834  0.941  (0.884)   | 0.638  0.839  0.940  (0.885)  |  4 hr 47 min
0.0010  12.8    0.5 | 0.644  0.833  0.941  (0.883)   | 0.627  0.838  0.941  (0.886)  |  4 hr 50 min
0.0010  12.9    0.5 | 0.644  0.834  0.941  (0.883)   | 0.601  0.841  0.947  (0.890)  |  4 hr 52 min
0.0010  13.0    0.5 | 0.644  0.834  0.941  (0.884)   | 0.585  0.853  0.945  (0.896)  |  4 hr 54 min
0.0010  13.1    0.5 | 0.644  0.833  0.940  (0.883)   | 0.603  0.847  0.945  (0.893)  |  4 hr 56 min
0.0010  13.2    0.5 | 0.643  0.834  0.941  (0.884)   | 0.617  0.839  0.945  (0.888)  |  4 hr 59 min
0.0010  13.3    0.5 | 0.642  0.834  0.941  (0.884)   | 0.602  0.844  0.943  (0.890)  |  5 hr 01 min
0.0010  13.4    0.5 | 0.642  0.834  0.941  (0.884)   | 0.640  0.840  0.942  (0.887)  |  5 hr 03 min
0.0010  13.5    0.5 | 0.643  0.834  0.942  (0.884)   | 0.613  0.840  0.947  (0.890)  |  5 hr 06 min
0.0010  13.6    0.5 | 0.642  0.833  0.941  (0.883)   | 0.654  0.835  0.939  (0.883)  |  5 hr 08 min
0.0010  13.7    0.5 | 0.642  0.834  0.942  (0.884)   | 0.646  0.833  0.939  (0.883)  |  5 hr 10 min
0.0010  13.8    0.5 | 0.642  0.834  0.941  (0.884)   | 0.633  0.841  0.942  (0.888)  |  5 hr 12 min
0.0010  13.9    0.5 | 0.644  0.834  0.941  (0.884)   | 0.577  0.848  0.951  (0.896)  |  5 hr 15 min
0.0010  14.0    0.5 | 0.643  0.833  0.942  (0.884)*  | 0.631  0.844  0.944  (0.890)  |  5 hr 17 min
0.0010  14.1    0.5 | 0.642  0.833  0.941  (0.884)   | 0.636  0.842  0.944  (0.889)  |  5 hr 19 min
0.0010  14.2    0.5 | 0.643  0.834  0.941  (0.884)   | 0.623  0.838  0.948  (0.889)  |  5 hr 21 min
0.0010  14.3    0.5 | 0.642  0.834  0.941  (0.883)   | 0.632  0.842  0.940  (0.887)  |  5 hr 24 min
0.0010  14.4    0.5 | 0.642  0.835  0.942  (0.884)   | 0.638  0.837  0.939  (0.884)  |  5 hr 26 min
0.0010  14.5    0.5 | 0.642  0.834  0.941  (0.884)   | 0.635  0.843  0.942  (0.890)  |  5 hr 28 min
0.0010  14.6    0.5 | 0.642  0.834  0.941  (0.884)   | 0.598  0.846  0.947  (0.893)  |  5 hr 30 min
0.0010  14.7    0.6 | 0.642  0.836  0.942  (0.885)   | 0.614  0.841  0.945  (0.889)  |  5 hr 33 min
0.0010  14.8    0.6 | 0.643  0.834  0.942  (0.884)   | 0.604  0.837  0.948  (0.889)  |  5 hr 35 min
0.0010  14.9    0.6 | 0.642  0.834  0.942  (0.884)   | 0.634  0.840  0.941  (0.887)  |  5 hr 37 min
0.0010  15.0    0.6 | 0.642  0.835  0.942  (0.885)   | 0.623  0.839  0.944  (0.887)  |  5 hr 40 min
0.0010  15.1    0.6 | 0.642  0.834  0.942  (0.884)   | 0.602  0.840  0.949  (0.891)  |  5 hr 42 min
0.0010  15.2    0.6 | 0.643  0.834  0.942  (0.884)   | 0.590  0.848  0.945  (0.894)  |  5 hr 44 min
0.0010  15.3    0.6 | 0.643  0.835  0.941  (0.884)   | 0.598  0.842  0.948  (0.892)  |  5 hr 46 min
0.0010  15.4    0.6 | 0.642  0.834  0.941  (0.884)   | 0.602  0.851  0.944  (0.894)  |  5 hr 49 min
0.0010  15.5    0.6 | 0.642  0.835  0.941  (0.884)   | 0.611  0.842  0.942  (0.889)  |  5 hr 51 min
0.0010  15.6    0.6 | 0.642  0.835  0.942  (0.884)   | 0.608  0.834  0.948  (0.887)  |  5 hr 53 min
0.0010  15.7    0.6 | 0.642  0.835  0.941  (0.884)   | 0.625  0.840  0.943  (0.888)  |  5 hr 55 min
0.0010  15.8    0.6 | 0.641  0.835  0.941  (0.885)   | 0.599  0.843  0.945  (0.891)  |  5 hr 58 min
0.0010  15.9    0.6 | 0.641  0.834  0.941  (0.884)   | 0.631  0.843  0.940  (0.888)  |  6 hr 00 min
0.0010  16.0    0.6 | 0.642  0.834  0.941  (0.884)*  | 0.631  0.836  0.943  (0.886)  |  6 hr 02 min
0.0010  16.1    0.6 | 0.642  0.834  0.942  (0.884)   | 0.609  0.845  0.948  (0.892)  |  6 hr 04 min
0.0010  16.2    0.6 | 0.641  0.835  0.942  (0.884)   | 0.608  0.844  0.948  (0.892)  |  6 hr 07 min
0.0010  16.3    0.6 | 0.643  0.835  0.942  (0.885)   | 0.634  0.837  0.940  (0.885)  |  6 hr 09 min
0.0010  16.4    0.6 | 0.643  0.836  0.942  (0.885)   | 0.604  0.844  0.945  (0.891)  |  6 hr 11 min
0.0010  16.5    0.6 | 0.643  0.835  0.942  (0.885)   | 0.621  0.839  0.944  (0.888)  |  6 hr 13 min
0.0010  16.6    0.6 | 0.642  0.836  0.942  (0.885)   | 0.643  0.837  0.940  (0.885)  |  6 hr 16 min
0.0010  16.7    0.6 | 0.642  0.835  0.942  (0.885)   | 0.614  0.847  0.944  (0.892)  |  6 hr 18 min
0.0010  16.8    0.6 | 0.643  0.835  0.942  (0.885)   | 0.620  0.845  0.943  (0.890)  |  6 hr 20 min
0.0010  16.9    0.6 | 0.643  0.835  0.942  (0.884)   | 0.613  0.842  0.943  (0.888)  |  6 hr 23 min
0.0010  17.0    0.6 | 0.641  0.835  0.942  (0.885)   | 0.621  0.842  0.945  (0.891)  |  6 hr 25 min
0.0010  17.1    0.6 | 0.642  0.835  0.941  (0.884)   | 0.608  0.846  0.944  (0.892)  |  6 hr 27 min
0.0010  17.2    0.6 | 0.642  0.835  0.941  (0.884)   | 0.619  0.841  0.942  (0.888)  |  6 hr 29 min
0.0010  17.3    0.7 | 0.642  0.835  0.941  (0.884)   | 0.626  0.840  0.940  (0.887)  |  6 hr 32 min
0.0010  17.4    0.7 | 0.642  0.834  0.941  (0.884)   | 0.606  0.844  0.946  (0.891)  |  6 hr 34 min
0.0010  17.5    0.7 | 0.641  0.835  0.942  (0.885)   | 0.598  0.844  0.949  (0.893)  |  6 hr 36 min
0.0010  17.6    0.7 | 0.642  0.835  0.942  (0.884)   | 0.642  0.835  0.940  (0.884)  |  6 hr 38 min
0.0010  17.7    0.7 | 0.640  0.835  0.941  (0.884)   | 0.616  0.844  0.943  (0.890)  |  6 hr 41 min
0.0010  17.8    0.7 | 0.641  0.834  0.941  (0.884)   | 0.631  0.836  0.943  (0.886)  |  6 hr 43 min
0.0010  17.9    0.7 | 0.641  0.835  0.941  (0.884)   | 0.607  0.848  0.946  (0.893)  |  6 hr 45 min
0.0010  18.0    0.7 | 0.641  0.834  0.941  (0.884)*  | 0.621  0.840  0.944  (0.887)  |  6 hr 47 min
0.0010  18.1    0.7 | 0.641  0.835  0.942  (0.885)   | 0.628  0.838  0.943  (0.887)  |  6 hr 50 min
0.0010  18.2    0.7 | 0.642  0.835  0.942  (0.885)   | 0.632  0.837  0.941  (0.885)  |  6 hr 52 min
0.0010  18.3    0.7 | 0.642  0.836  0.941  (0.885)   | 0.629  0.838  0.943  (0.887)  |  6 hr 54 min
0.0010  18.4    0.7 | 0.641  0.835  0.942  (0.885)   | 0.637  0.837  0.939  (0.885)  |  6 hr 56 min
0.0010  18.5    0.7 | 0.640  0.836  0.942  (0.885)   | 0.624  0.840  0.941  (0.887)  |  6 hr 59 min
0.0010  18.6    0.7 | 0.640  0.836  0.941  (0.885)   | 0.632  0.837  0.942  (0.886)  |  7 hr 01 min
0.0010  18.7    0.7 | 0.639  0.835  0.941  (0.884)   | 0.595  0.850  0.947  (0.895)  |  7 hr 03 min
0.0010  18.8    0.7 | 0.640  0.835  0.942  (0.885)   | 0.625  0.839  0.945  (0.888)  |  7 hr 06 min
0.0010  18.9    0.7 | 0.639  0.836  0.941  (0.885)   | 0.615  0.841  0.942  (0.888)  |  7 hr 08 min
0.0010  19.0    0.7 | 0.638  0.835  0.942  (0.885)   | 0.599  0.848  0.943  (0.893)  |  7 hr 10 min
0.0010  19.1    0.7 | 0.639  0.835  0.942  (0.885)   | 0.613  0.844  0.943  (0.890)  |  7 hr 12 min
0.0010  19.2    0.7 | 0.638  0.835  0.942  (0.885)   | 0.596  0.843  0.947  (0.891)  |  7 hr 15 min
0.0010  19.3    0.7 | 0.638  0.836  0.942  (0.885)   | 0.636  0.840  0.938  (0.885)  |  7 hr 17 min
0.0010  19.4    0.7 | 0.638  0.836  0.942  (0.885)   | 0.621  0.841  0.942  (0.888)  |  7 hr 19 min
0.0010  19.5    0.7 | 0.639  0.836  0.942  (0.885)   | 0.606  0.846  0.945  (0.892)  |  7 hr 21 min
0.0010  19.6    0.7 | 0.640  0.835  0.942  (0.885)   | 0.605  0.847  0.944  (0.893)  |  7 hr 24 min
0.0010  19.7    0.7 | 0.639  0.836  0.942  (0.885)   | 0.622  0.840  0.941  (0.887)  |  7 hr 26 min
0.0010  19.8    0.7 | 0.639  0.836  0.942  (0.885)   | 0.589  0.849  0.949  (0.896)  |  7 hr 28 min
0.0010  19.9    0.7 | 0.638  0.836  0.942  (0.885)   | 0.611  0.845  0.944  (0.891)  |  7 hr 30 min
0.0010  20.0    0.8 | 0.639  0.837  0.942  (0.886)*  | 0.607  0.840  0.945  (0.889)  |  7 hr 33 min
0.0010  20.1    0.8 | 0.639  0.836  0.942  (0.885)   | 0.627  0.834  0.940  (0.884)  |  7 hr 35 min
0.0010  20.2    0.8 | 0.639  0.836  0.942  (0.885)   | 0.619  0.842  0.942  (0.889)  |  7 hr 37 min
0.0010  20.3    0.8 | 0.640  0.835  0.942  (0.885)   | 0.615  0.839  0.942  (0.886)  |  7 hr 39 min
0.0010  20.4    0.8 | 0.639  0.836  0.942  (0.885)   | 0.616  0.838  0.946  (0.888)  |  7 hr 42 min
0.0010  20.5    0.8 | 0.640  0.836  0.942  (0.885)   | 0.609  0.842  0.944  (0.889)  |  7 hr 44 min
0.0010  20.6    0.8 | 0.640  0.836  0.942  (0.885)   | 0.622  0.844  0.943  (0.890)  |  7 hr 46 min
0.0010  20.7    0.8 | 0.640  0.836  0.942  (0.885)   | 0.652  0.836  0.939  (0.884)  |  7 hr 49 min
0.0010  20.8    0.8 | 0.640  0.836  0.942  (0.885)   | 0.619  0.841  0.944  (0.888)  |  7 hr 51 min
0.0010  20.9    0.8 | 0.640  0.835  0.941  (0.885)   | 0.607  0.845  0.945  (0.891)  |  7 hr 53 min
0.0010  21.0    0.8 | 0.641  0.835  0.941  (0.884)   | 0.605  0.847  0.942  (0.892)  |  7 hr 55 min
0.0010  21.1    0.8 | 0.641  0.836  0.942  (0.885)   | 0.592  0.850  0.949  (0.896)  |  7 hr 58 min
0.0010  21.2    0.8 | 0.640  0.835  0.942  (0.884)   | 0.588  0.845  0.946  (0.892)  |  8 hr 00 min
0.0010  21.3    0.8 | 0.639  0.835  0.942  (0.885)   | 0.604  0.847  0.947  (0.893)  |  8 hr 02 min
0.0010  21.4    0.8 | 0.640  0.835  0.942  (0.885)   | 0.639  0.842  0.943  (0.889)  |  8 hr 04 min
0.0010  21.5    0.8 | 0.639  0.835  0.942  (0.885)   | 0.577  0.851  0.950  (0.897)  |  8 hr 07 min
0.0010  21.6    0.8 | 0.639  0.835  0.942  (0.885)   | 0.595  0.853  0.946  (0.896)  |  8 hr 09 min
0.0010  21.7    0.8 | 0.641  0.834  0.942  (0.884)   | 0.593  0.846  0.946  (0.892)  |  8 hr 11 min
0.0010  21.8    0.8 | 0.641  0.834  0.941  (0.884)   | 0.603  0.843  0.945  (0.890)  |  8 hr 13 min
0.0010  21.9    0.8 | 0.640  0.835  0.941  (0.884)   | 0.629  0.842  0.942  (0.889)  |  8 hr 16 min
0.0010  22.0    0.8 | 0.641  0.835  0.942  (0.885)*  | 0.602  0.844  0.945  (0.891)  |  8 hr 18 min
0.0010  22.1    0.8 | 0.639  0.835  0.942  (0.885)   | 0.602  0.846  0.944  (0.891)  |  8 hr 20 min
0.0010  22.2    0.8 | 0.640  0.836  0.942  (0.885)   | 0.589  0.844  0.948  (0.892)  |  8 hr 22 min
0.0010  22.3    0.8 | 0.639  0.835  0.942  (0.885)   | 0.592  0.853  0.947  (0.897)  |  8 hr 25 min
0.0010  22.4    0.8 | 0.640  0.836  0.942  (0.885)   | 0.614  0.843  0.947  (0.891)  |  8 hr 27 min
0.0010  22.5    0.8 | 0.640  0.836  0.942  (0.885)   | 0.608  0.845  0.945  (0.892)  |  8 hr 29 min
0.0010  22.6    0.9 | 0.639  0.835  0.942  (0.885)   | 0.633  0.845  0.940  (0.889)  |  8 hr 31 min
0.0010  22.7    0.9 | 0.639  0.836  0.942  (0.885)   | 0.619  0.845  0.941  (0.889)  |  8 hr 34 min
0.0010  22.8    0.9 | 0.639  0.835  0.942  (0.885)   | 0.600  0.843  0.946  (0.891)  |  8 hr 36 min
0.0010  22.9    0.9 | 0.639  0.835  0.942  (0.885)   | 0.589  0.850  0.945  (0.894)  |  8 hr 38 min
0.0010  23.0    0.9 | 0.639  0.836  0.942  (0.885)   | 0.623  0.847  0.942  (0.891)  |  8 hr 41 min
0.0010  23.1    0.9 | 0.640  0.835  0.942  (0.885)   | 0.600  0.840  0.945  (0.890)  |  8 hr 43 min
